id,srch_id,Hotel_Name,City,Hotel_Address,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,prop_location_score_aggregate,prop_historical_price,prop_delta_price,price_order,target_date,target_month,target_month_num
1,2,New York Hilton Midtown,Newyork,1335 6th Ave,11/5/2012 21:28,15,55,0,0,98,12938,4.5,0,0,2.94,0,3.88,33.56,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,48.42421507,-14.86421507,1,1/1/2013 21:28,January,1
2,2,New York Marriott Marquis,Newyork,1535 Broadway,11/5/2012 21:28,15,55,0,0,98,7771,4,4.5,0,3.81,0,3.54,51.13,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,34.46691919,16.66308081,2,1/1/2013 21:28,January,1
3,2,Hotel Pennsylvania,Newyork,401 7th Ave,11/5/2012 21:28,15,55,0,0,98,6399,4,0,0,3.09,0.3206,3.62,54.33,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4106,37.33756782,16.99243218,3,1/1/2013 21:28,January,1
4,2,Grand Hyatt New York,Newyork, 109 E 42nd St,11/5/2012 21:28,15,55,0,0,98,25579,3.5,4,0,3,0.3602,4.19,59.12,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3602,66.02279096,-6.90279096,4,1/1/2013 21:28,January,1
5,2,Waldorf Astoria New York,Newyork,301 Park Ave,11/5/2012 21:28,15,55,0,0,98,26540,3.5,3.5,0,2.83,0.3418,4.05,68.71,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1718,57.39745705,11.31254295,5,1/1/2013 21:28,January,1
6,2,The Roosevelt Hotel,Newyork,45 E 45th St,11/5/2012 21:28,15,55,0,0,98,37331,3,4,0,2.77,0,3.99,68.71,1,13085,2,57,2,0,1,0,0,0,0,0,0,0,1,0,20,-1,0,5,0,0,0,-1,0,5,0,0,0,0,0,0,0,0,0,2.77,54.05488936,14.65511064,6,1/1/2013 21:28,January,1
7,2,Park Central Hotel,Newyork,870 7th Ave,11/5/2012 21:28,15,55,0,0,98,91899,3,3,0,2.94,0.2163,4.28,68.71,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1563,72.24044001,-3.530440007,7,1/1/2013 21:28,January,1
8,2,Edison Hotel,Newyork,228 W 47th St,11/5/2012 21:28,15,55,0,0,98,30434,3,3.5,0,1.79,0.0453,4.97,95.88,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8353,144.0268874,-48.14688737,8,1/1/2013 21:28,January,1
9,2,Hudson Hotel,Newyork,358 W 58th St,11/5/2012 21:28,15,55,0,0,98,7374,3,3.5,0,2.83,0.2257,4.13,105.47,1,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0557,62.17792293,43.29207707,9,1/1/2013 21:28,January,1
10,2,InterContinental New York Barclay Hotel,Newyork,111 E 48th St,11/5/2012 21:28,15,55,0,0,98,27090,4,0,0,2.56,0,4.68,124.64,1,13085,2,57,2,0,1,0,0,0,0,0,0,0,1,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,107.7700726,16.86992743,10,1/1/2013 21:28,January,1
11,2,Sheraton New York Times Square Hotel,Newyork,811 7th Ave,11/5/2012 21:28,15,55,0,0,98,131173,4,5,0,1.61,0.0265,4.97,124.64,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6365,144.0268874,-19.38688737,11,1/1/2013 21:28,January,1
12,2,Row NYC,Newyork,700 8th Ave,11/5/2012 21:28,15,55,0,0,98,3105,3,2,0,3.09,0.0931,4.28,164.59,0,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1831,72.24044001,92.34955999,12,1/1/2013 21:28,January,1
13,2,Crowne Plaza Times Square,Newyork,1605 Broadway,11/5/2012 21:28,15,55,0,0,98,78858,2,4.5,1,1.79,0.036,4.97,174.18,1,13085,2,57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.826,144.0268874,30.15311263,13,1/1/2013 21:28,January,1
