HOTEL NAME,CITY,,ADDRESS
Kos,Amsterdam,9,Staalmeesterlaan
Meininger Room 115,Amsterdam,9,Hendrikje Stoffelstraat 1
Holiday Inn Sloterdik,Amsterdam,9,Voorburgstraat 250
Fasion Hotel,Amsterdam,9,Beursstraat 21
HEM Hotel,Amsterdam,9,Lucellestraat
besthotelfordogs.com,Amsterdam,9,Titus van Rijnstraat
Bastion Hotel Amsterdam,Amsterdam,9,"Nachtwachtlaan 11, Amsterdam, Netherlands, 1058 EV"
Tulip Inn Amsterdam Art,Amsterdam,9,Havenstraat 3a Loods 22
Arts Hotel,Amsterdam,9,Amstelveenseweg 646
Cosy Canal Apartaments,Amsterdam,9,Corn. Douwesweg 15
Hotel/ Bar Sebastian's,Amsterdam,9,Spaarndammerdijk 304
Amsterdam City,Amsterdam,9,Teilingen 45
Mate hotel,Amsterdam,9,Kastelenstraat 64
RHO Hotel,Amsterdam,9,Kraanspoor 42
Hotel Amsterdam,Amsterdam,9,"Amstel Botel Amsterdam, NDSM-pier 3, 1033 RG Amsterdam"
Hotel cc,Amsterdam,9,"Amstel Botel Amsterdam, NDSM-pier 3, 1033 RG Amsterdam"
Executive Lounge - Hotel Okura,Amsterdam,9,Lindengracht
Bicyclehotel Van Ostade,Amsterdam,9,Keizersgracht 15
Shi Hotel,Amsterdam,9,Herengracht 255
"Hermitage Hotel, Amsterdam-Centrum",Amsterdam,9,Grachten
Hotel Flipper :: Borssenburgstraat 5,Amsterdam,9,Van Ostadestraat 123HS
Hotel V Victorieplein,Amsterdam,9,Govert Flinckstraat 109-3
Movempic Amsterdam City Center Hotel,Amsterdam,9,Sportpark Kadoelen 5
Heeswijk Dinther Raadhuys,Amsterdam,9,Wanningstraat 1
Room Mate Hotel (opening soon),Amsterdam,9,Van der Pekplein
Alternatief Boot,Amsterdam,9,prinsengracht 4243
Double Tree,Amsterdam,9,Nieuwe Keizersgracht 16
"Cleythil hotel, maldegem, belgi?®",Amsterdam,9,Borssenburgstraat 5
Shiphotel gandalf,Amsterdam,9,Victorieplein 42
Captain's place,Amsterdam,9,Ranonkelkade 10
Het Zomerhuis,Amsterdam,9,Van der Pekstraat 3
Autohogar Hotel Barcelona,Barcelona,3,Riera Blanca
Best Western Hotel del Teatre Auditori Barcelona,Barcelona,3,"Calle Blai, 59"
Hotel Vinci Maritimo,Barcelona,3,Carrer Del Bisbe Sivilla 7
Barcelona Apartments Montjuic Foutains,Barcelona,3,Valles Oriental
Waytostay,Barcelona,3,Calle K
