"","x"
"1",893
"2",10404
"3",21315
"4",27348
"5",29604
"6",30184
"7",44147
"8",50984
"9",53341
"10",56880
"11",59267
"12",59526
"13",68914
"14",74474
"15",81437
"16",85728
"17",88096
"18",88127
"19",88218
"20",89073
"21",95166
"22",95307
"23",97247
"24",107872
"25",111000
"26",111106
"27",114766
"28",122844
"29",3625
"30",11622
"31",11826
"32",22824
"33",37581
"34",39993
"35",46162
"36",49152
"37",56063
"38",56472
"39",58696
"40",64344
"41",65984
"42",71258
"43",75491
"44",81172
"45",83045
"46",83430
"47",83806
"48",85567
"49",85742
"50",89119
"51",97099
"52",109185
"53",110813
"54",116696
"55",125069
"56",127808
"57",129278
"58",134162
"59",137826
"60",139893
"61",10759
"62",22135
"63",52376
"64",104251
"65",118866
"66",10250
"67",13252
"68",22756
"69",27669
"70",30630
"71",32491
"72",33805
"73",35397
"74",39137
"75",41497
"76",54403
"77",58176
"78",63511
"79",66444
"80",67150
"81",73738
"82",83293
"83",90151
"84",119302
"85",125655
"86",134607
"87",6492
"88",8946
"89",9952
"90",19470
"91",20499
"92",24526
"93",26421
"94",27675
"95",28364
"96",33980
"97",35021
"98",38443
"99",47116
"100",59898
"101",63095
"102",69993
"103",73511
"104",74499
"105",75743
"106",78768
"107",80764
"108",83769
"109",85264
"110",86294
"111",93949
"112",95615
"113",100969
"114",102705
"115",114096
"116",122888
"117",124104
"118",134563
"119",136184
"120",7814
"121",10881
"122",12510
"123",17122
"124",18012
"125",29081
"126",43250
"127",45722
"128",47902
"129",55331
"130",59368
"131",73964
"132",82017
"133",83229
"134",84441
"135",89698
"136",92506
"137",93021
"138",97754
"139",105912
"140",108971
"141",111957
"142",113997
"143",114662
"144",117707
"145",121983
"146",129310
"147",139181
"148",2196
"149",3309
"150",11331
"151",17795
"152",21770
"153",23984
"154",28503
"155",35054
"156",43549
"157",45379
"158",56046
"159",58295
"160",66095
"161",66890
"162",73557
"163",73790
"164",78834
"165",82886
"166",83594
"167",84999
"168",85819
"169",87596
"170",90634
"171",91671
"172",101782
"173",104381
"174",114872
"175",116414
"176",119357
"177",122245
"178",136312
"179",6225
"180",15024
"181",19748
"182",20383
"183",21183
"184",24015
"185",32232
"186",33118
"187",35574
"188",36101
"189",38976
"190",38994
"191",40534
"192",48069
"193",48813
"194",58294
"195",61662
"196",73519
"197",73547
"198",82632
"199",88685
"200",92347
"201",93867
"202",102266
"203",111509
"204",119830
"205",120188
"206",128170
"207",138307
"208",2863
"209",12255
"210",20707
"211",22710
"212",23228
"213",30829
"214",50684
"215",53298
"216",54036
"217",54226
"218",56370
"219",61189
"220",61885
"221",63731
"222",65623
"223",66171
"224",66209
"225",68528
"226",69645
"227",79870
"228",81772
"229",83281
"230",88629
"231",91587
"232",112716
"233",118859
"234",120046
"235",120328
"236",122279
"237",125384
"238",126136
"239",126803
"240",133065
"241",5739
"242",11244
"243",11726
"244",13996
"245",16096
"246",17853
"247",18016
"248",19598
"249",22984
"250",23150
"251",24003
"252",26804
"253",33528
"254",34187
"255",35767
"256",50188
"257",65557
"258",66769
"259",67406
"260",69294
"261",72185
"262",72909
"263",75069
"264",75704
"265",77605
"266",79225
"267",86217
"268",93383
"269",100913
"270",109409
"271",116043
"272",120960
"273",122795
"274",137773
"275",1722
"276",3858
"277",7523
"278",7880
"279",31336
"280",32060
"281",36871
"282",62433
"283",73452
"284",78380
"285",79026
"286",89359
"287",98239
"288",114304
"289",126719
"290",135779
"291",13155
"292",13878
"293",14504
"294",15884
"295",18569
"296",18859
"297",19567
"298",31945
"299",35043
"300",36710
"301",40463
"302",41585
"303",44197
"304",65983
"305",68689
"306",77109
"307",87796
"308",92698
"309",97615
"310",108513
"311",117347
"312",121665
"313",125611
"314",128313
"315",130968
"316",133729
"317",136754
"318",137592
"319",1051
"320",6764
"321",12321
"322",18083
"323",18516
"324",23462
"325",28515
"326",47153
"327",50460
"328",54904
"329",64019
"330",77827
"331",78635
"332",81183
"333",82238
"334",101799
"335",101939
"336",105110
"337",110154
"338",119713
"339",122877
"340",124551
"341",126293
"342",126850
"343",126902
"344",132625
"345",6214
"346",9401
"347",15181
"348",18970
"349",27312
"350",33035
"351",35338
"352",39440
"353",47087
"354",53867
"355",60758
"356",69434
"357",72813
"358",72857
"359",76617
"360",77482
"361",79231
"362",83407
"363",94354
"364",114366
"365",120901
"366",127949
"367",130634
"368",131053
"369",133389
"370",136536
"371",139830
"372",4426
"373",12202
"374",15545
"375",24939
"376",30828
"377",34682
"378",42260
"379",46465
"380",55340
"381",55503
"382",56537
"383",64324
"384",68411
"385",74077
"386",99186
"387",108502
"388",109855
"389",116047
"390",138968
"391",139848
"392",1795
"393",2636
"394",9109
"395",10396
"396",21090
"397",25048
"398",30219
"399",40075
"400",47442
"401",47865
"402",57473
"403",59364
"404",60476
"405",61104
"406",65998
"407",67123
"408",70867
"409",79020
"410",82378
"411",89643
"412",89845
"413",91079
"414",92919
"415",93761
"416",102933
"417",105152
"418",105466
"419",105819
"420",122082
"421",127369
"422",131168
"423",137812
